"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
18167;"Dragons 3 : Le monde caché";"Animation 3D";"Etats-Unis";3367445;FALSE;FALSE
18168;"Dumbo (2019)";"Film familial";"Etats-Unis";2394304;TRUE;TRUE
18759;"Edmond";"Comédie dramatique";"France";694703;TRUE;FALSE
18712;"El Reino";"Thriller";"Espagne";245997;TRUE;FALSE
18867;"Escape Game";"Thriller";"Etats-Unis";858915;FALSE;FALSE
19932;"Et puis nous danserons";"Comédie dramatique";"Suède";26986;FALSE;FALSE
18726;"Euforia";"Drame";"Italie";20563;TRUE;FALSE
18975;"Exfiltrés";"Thriller";"France";39772;TRUE;FALSE
19580;"Fahim";"Drame";"France";216724;TRUE;FALSE
18257;"Fast & Furious : Hobbs & Shaw";"Aventure - Action";"Etats-Unis";2433635;FALSE;FALSE
19533;"Fête de famille";"Comédie dramatique";"France";326169;TRUE;FALSE
18760;"Forgiven";"Drame";"Royaume-Uni";20666;FALSE;FALSE
19504;"Fourmi";"Comédie dramatique";"France";111778;TRUE;FALSE
19409;"Frankie (2019)";"Drame";"France";66775;TRUE;TRUE
19334;"Gemini Man";"Science Fiction";"Etats-Unis";922507;TRUE;FALSE
18551;"Gentlemen cambrioleurs";"Thriller";"Royaume-Uni";63854;FALSE;FALSE
19556;"Give Me Liberty";"Comédie";"Etats-Unis";53300;TRUE;FALSE
17542;"Glass";"Thriller";"Etats-Unis";1290067;TRUE;FALSE
19003;"Gloria Bell";"Drame";"Etats-Unis";121758;TRUE;FALSE
19780;"Gloria Mundi";"Drame";"France";327750;TRUE;FALSE
18319;"Godzilla II Roi des Monstres";"Science Fiction";"Etats-Unis";667899;FALSE;FALSE
19568;"Good Boys";"Comédie";"Etats-Unis";123548;TRUE;FALSE
18874;"Grâce à Dieu";"Drame";"France";915327;TRUE;FALSE
18367;"Green Book : Sur les routes du sud";"Comédie dramatique";"Etats-Unis";2055324;FALSE;FALSE
18964;"Greta";"Thriller";"Etats-Unis";137278;TRUE;FALSE
18838;"Happy Birthdead 2 You";"Horreur";"Etats-Unis";270392;FALSE;FALSE
18697;"Hellboy (2019)";"Comicbook";"Etats-Unis";232008;TRUE;TRUE
18858;"Holy Lands";"Drame";"France";29734;TRUE;FALSE
18864;"Hors normes";"Comédie";"France";2090138;TRUE;FALSE
19200;"Ibiza";"Comédie";"France";629425;TRUE;FALSE
19599;"Inséparables (2019)";"Comédie";"France";1037582;TRUE;TRUE
19729;"Interview avec Dieu";"Drame";"Etats-Unis";28117;FALSE;FALSE
19824;"It Must Be Heaven";"Comédie dramatique";"France";198319;TRUE;FALSE
18775;"J'accuse";"Drame";"France";1523522;TRUE;FALSE
19804;"J'ai perdu mon corps";"Animation";"France";157198;TRUE;FALSE
19601;"J'irai où tu iras";"Comédie";"France";448396;TRUE;FALSE
19587;"Je promets d'être sage";"Comédie dramatique";"France";93613;TRUE;FALSE
19595;"Jeanne";"Drame";"France";40698;TRUE;FALSE
18107;"John Wick Parabellum";"Aventure - Action";"Etats-Unis";841535;FALSE;FALSE
18661;"Joker";"Comicbook";"Etats-Unis";5590731;TRUE;FALSE
19581;"Joyeuse retraite !";"Comédie";"France";1250322;TRUE;FALSE
18258;"Jumanji: next level";"Aventure - Action";"Etats-Unis";3072647;FALSE;FALSE
18836;"Jusqu'ici tout va bien";"Comédie dramatique";"France";574039;TRUE;FALSE
18939;"Just a gigolo";"Comédie";"France";276765;TRUE;FALSE
19223;"L'Adieu à la nuit";"Drame";"France";260959;TRUE;FALSE
18952;"L'Ange";"Drame";"Argentine";25607;FALSE;FALSE
19445;"L'Autre continent";"Romance";"France";23507;TRUE;FALSE
18510;"L'Heure de la sortie";"Thriller";"France";66534;TRUE;FALSE
18841;"L'Incroyable aventure de Bella";"Film familial";"Etats-Unis";20175;FALSE;FALSE
18761;"L'Incroyable histoire du Facteur Cheval";"Comédie dramatique";"France";757243;TRUE;FALSE
